instrument,level_id,arm,touch_bucket,n
ES,mad_D_1.0,REAL,B1,951
ES,mad_D_1.0,REAL,B2,62
ES,mad_D_1.0,REAL,B3,15
ES,mad_D_1.0,REAL,B4,25
ES,mad_D_1.0,REAL,B5,7
ES,mad_D_1.0,REAL,B6,5
ES,mad_D_1.0,SYNTHETIC,B1,954
ES,mad_D_1.0,SYNTHETIC,B2,62
ES,mad_D_1.0,SYNTHETIC,B3,17
ES,mad_D_1.0,SYNTHETIC,B4,22
ES,mad_D_1.0,SYNTHETIC,B5,8
ES,mad_D_1.0,SYNTHETIC,B6,6
ES,mad_D_1.5,REAL,B1,830
ES,mad_D_1.5,REAL,B2,92
ES,mad_D_1.5,REAL,B3,25
ES,mad_D_1.5,REAL,B4,32
ES,mad_D_1.5,REAL,B5,13
ES,mad_D_1.5,REAL,B6,7
ES,mad_D_1.5,SYNTHETIC,B1,825
ES,mad_D_1.5,SYNTHETIC,B2,94
ES,mad_D_1.5,SYNTHETIC,B3,29
ES,mad_D_1.5,SYNTHETIC,B4,29
ES,mad_D_1.5,SYNTHETIC,B5,13
ES,mad_D_1.5,SYNTHETIC,B6,6
ES,mad_D_2.0,REAL,B1,730
ES,mad_D_2.0,REAL,B2,123
ES,mad_D_2.0,REAL,B3,33
ES,mad_D_2.0,REAL,B4,38
ES,mad_D_2.0,REAL,B5,20
ES,mad_D_2.0,REAL,B6,9
ES,mad_D_2.0,SYNTHETIC,B1,728
ES,mad_D_2.0,SYNTHETIC,B2,119
ES,mad_D_2.0,SYNTHETIC,B3,32
ES,mad_D_2.0,SYNTHETIC,B4,37
ES,mad_D_2.0,SYNTHETIC,B5,23
ES,mad_D_2.0,SYNTHETIC,B6,13
ES,mad_U_1.0,REAL,B1,981
ES,mad_U_1.0,REAL,B2,54
ES,mad_U_1.0,REAL,B3,22
ES,mad_U_1.0,REAL,B4,20
ES,mad_U_1.0,REAL,B5,9
ES,mad_U_1.0,REAL,B6,6
ES,mad_U_1.0,SYNTHETIC,B1,981
ES,mad_U_1.0,SYNTHETIC,B2,56
ES,mad_U_1.0,SYNTHETIC,B3,24
ES,mad_U_1.0,SYNTHETIC,B4,23
ES,mad_U_1.0,SYNTHETIC,B5,9
ES,mad_U_1.0,SYNTHETIC,B6,5
ES,mad_U_1.5,REAL,B1,846
ES,mad_U_1.5,REAL,B2,87
ES,mad_U_1.5,REAL,B3,35
ES,mad_U_1.5,REAL,B4,27
ES,mad_U_1.5,REAL,B5,15
ES,mad_U_1.5,REAL,B6,10
ES,mad_U_1.5,SYNTHETIC,B1,834
ES,mad_U_1.5,SYNTHETIC,B2,84
ES,mad_U_1.5,SYNTHETIC,B3,34
ES,mad_U_1.5,SYNTHETIC,B4,29
ES,mad_U_1.5,SYNTHETIC,B5,19
ES,mad_U_1.5,SYNTHETIC,B6,11
ES,mad_U_2.0,REAL,B1,727
ES,mad_U_2.0,REAL,B2,101
ES,mad_U_2.0,REAL,B3,39
ES,mad_U_2.0,REAL,B4,32
ES,mad_U_2.0,REAL,B5,27
ES,mad_U_2.0,REAL,B6,18
ES,mad_U_2.0,SYNTHETIC,B1,740
ES,mad_U_2.0,SYNTHETIC,B2,94
ES,mad_U_2.0,SYNTHETIC,B3,44
ES,mad_U_2.0,SYNTHETIC,B4,32
ES,mad_U_2.0,SYNTHETIC,B5,24
ES,mad_U_2.0,SYNTHETIC,B6,16
ES,mult_D_0.5,REAL,B1,1076
ES,mult_D_0.5,REAL,B2,35
ES,mult_D_0.5,REAL,B3,9
ES,mult_D_0.5,REAL,B4,12
ES,mult_D_0.5,REAL,B5,3
ES,mult_D_0.5,REAL,B6,5
ES,mult_D_0.5,SYNTHETIC,B1,980
ES,mult_D_0.5,SYNTHETIC,B2,58
ES,mult_D_0.5,SYNTHETIC,B3,12
ES,mult_D_0.5,SYNTHETIC,B4,20
ES,mult_D_0.5,SYNTHETIC,B5,6
ES,mult_D_0.5,SYNTHETIC,B6,5
ES,mult_D_1.0,REAL,B1,924
ES,mult_D_1.0,REAL,B2,72
ES,mult_D_1.0,REAL,B3,14
ES,mult_D_1.0,REAL,B4,24
ES,mult_D_1.0,REAL,B5,10
ES,mult_D_1.0,REAL,B6,6
ES,mult_D_1.0,SYNTHETIC,B1,840
ES,mult_D_1.0,SYNTHETIC,B2,85
ES,mult_D_1.0,SYNTHETIC,B3,25
ES,mult_D_1.0,SYNTHETIC,B4,27
ES,mult_D_1.0,SYNTHETIC,B5,14
ES,mult_D_1.0,SYNTHETIC,B6,6
ES,mult_D_1.5,REAL,B1,775
ES,mult_D_1.5,REAL,B2,108
ES,mult_D_1.5,REAL,B3,29
ES,mult_D_1.5,REAL,B4,35
ES,mult_D_1.5,REAL,B5,16
ES,mult_D_1.5,REAL,B6,5
ES,mult_D_1.5,SYNTHETIC,B1,705
ES,mult_D_1.5,SYNTHETIC,B2,121
ES,mult_D_1.5,SYNTHETIC,B3,35
ES,mult_D_1.5,SYNTHETIC,B4,43
ES,mult_D_1.5,SYNTHETIC,B5,24
ES,mult_D_1.5,SYNTHETIC,B6,6
ES,mult_D_2.0,REAL,B1,665
ES,mult_D_2.0,REAL,B2,131
ES,mult_D_2.0,REAL,B3,42
ES,mult_D_2.0,REAL,B4,44
ES,mult_D_2.0,REAL,B5,29
ES,mult_D_2.0,REAL,B6,6
ES,mult_D_2.0,SYNTHETIC,B1,543
ES,mult_D_2.0,SYNTHETIC,B2,151
ES,mult_D_2.0,SYNTHETIC,B3,47
ES,mult_D_2.0,SYNTHETIC,B4,42
ES,mult_D_2.0,SYNTHETIC,B5,42
ES,mult_D_2.0,SYNTHETIC,B6,18
ES,mult_U_0.5,REAL,B1,1088
ES,mult_U_0.5,REAL,B2,30
ES,mult_U_0.5,REAL,B3,13
ES,mult_U_0.5,REAL,B4,16
ES,mult_U_0.5,REAL,B5,7
ES,mult_U_0.5,REAL,B6,1
ES,mult_U_0.5,SYNTHETIC,B1,983
ES,mult_U_0.5,SYNTHETIC,B2,58
ES,mult_U_0.5,SYNTHETIC,B3,21
ES,mult_U_0.5,SYNTHETIC,B4,20
ES,mult_U_0.5,SYNTHETIC,B5,7
ES,mult_U_0.5,SYNTHETIC,B6,7
ES,mult_U_1.0,REAL,B1,922
ES,mult_U_1.0,REAL,B2,66
ES,mult_U_1.0,REAL,B3,27
ES,mult_U_1.0,REAL,B4,27
ES,mult_U_1.0,REAL,B5,8
ES,mult_U_1.0,REAL,B6,6
ES,mult_U_1.0,SYNTHETIC,B1,807
ES,mult_U_1.0,SYNTHETIC,B2,89
ES,mult_U_1.0,SYNTHETIC,B3,42
ES,mult_U_1.0,SYNTHETIC,B4,33
ES,mult_U_1.0,SYNTHETIC,B5,17
ES,mult_U_1.0,SYNTHETIC,B6,8
ES,mult_U_1.5,REAL,B1,731
ES,mult_U_1.5,REAL,B2,101
ES,mult_U_1.5,REAL,B3,42
ES,mult_U_1.5,REAL,B4,37
ES,mult_U_1.5,REAL,B5,25
ES,mult_U_1.5,REAL,B6,15
ES,mult_U_1.5,SYNTHETIC,B1,646
ES,mult_U_1.5,SYNTHETIC,B2,114
ES,mult_U_1.5,SYNTHETIC,B3,54
ES,mult_U_1.5,SYNTHETIC,B4,39
ES,mult_U_1.5,SYNTHETIC,B5,26
ES,mult_U_1.5,SYNTHETIC,B6,22
ES,mult_U_2.0,REAL,B1,601
ES,mult_U_2.0,REAL,B2,111
ES,mult_U_2.0,REAL,B3,58
ES,mult_U_2.0,REAL,B4,42
ES,mult_U_2.0,REAL,B5,25
ES,mult_U_2.0,REAL,B6,26
ES,mult_U_2.0,SYNTHETIC,B1,462
ES,mult_U_2.0,SYNTHETIC,B2,146
ES,mult_U_2.0,SYNTHETIC,B3,62
ES,mult_U_2.0,SYNTHETIC,B4,50
ES,mult_U_2.0,SYNTHETIC,B5,33
ES,mult_U_2.0,SYNTHETIC,B6,29
ES,overnight_high,REAL,B1,253
ES,overnight_high,REAL,B2,77
ES,overnight_high,REAL,B3,49
ES,overnight_high,REAL,B4,35
ES,overnight_high,REAL,B5,35
ES,overnight_high,REAL,B6,20
ES,overnight_high,SYNTHETIC,B1,545
ES,overnight_high,SYNTHETIC,B2,128
ES,overnight_high,SYNTHETIC,B3,45
ES,overnight_high,SYNTHETIC,B4,52
ES,overnight_high,SYNTHETIC,B5,25
ES,overnight_high,SYNTHETIC,B6,21
ES,overnight_low,REAL,B1,186
ES,overnight_low,REAL,B2,70
ES,overnight_low,REAL,B3,44
ES,overnight_low,REAL,B4,38
ES,overnight_low,REAL,B5,30
ES,overnight_low,REAL,B6,18
ES,overnight_low,SYNTHETIC,B1,574
ES,overnight_low,SYNTHETIC,B2,136
ES,overnight_low,SYNTHETIC,B3,45
ES,overnight_low,SYNTHETIC,B4,44
ES,overnight_low,SYNTHETIC,B5,31
ES,overnight_low,SYNTHETIC,B6,17
ES,overnight_mid,REAL,B1,430
ES,overnight_mid,REAL,B2,115
ES,overnight_mid,REAL,B3,49
ES,overnight_mid,REAL,B4,54
ES,overnight_mid,REAL,B5,40
ES,overnight_mid,REAL,B6,25
ES,overnight_mid,SYNTHETIC,B1,649
ES,overnight_mid,SYNTHETIC,B2,111
ES,overnight_mid,SYNTHETIC,B3,58
ES,overnight_mid,SYNTHETIC,B4,41
ES,overnight_mid,SYNTHETIC,B5,27
ES,overnight_mid,SYNTHETIC,B6,21
ES,overnight_open,REAL,B1,284
ES,overnight_open,REAL,B2,78
ES,overnight_open,REAL,B3,30
ES,overnight_open,REAL,B4,36
ES,overnight_open,REAL,B5,39
ES,overnight_open,REAL,B6,22
ES,overnight_open,SYNTHETIC,B1,604
ES,overnight_open,SYNTHETIC,B2,116
ES,overnight_open,SYNTHETIC,B3,54
ES,overnight_open,SYNTHETIC,B4,48
ES,overnight_open,SYNTHETIC,B5,21
ES,overnight_open,SYNTHETIC,B6,22
ES,prior_close,REAL,B1,200
ES,prior_close,REAL,B2,55
ES,prior_close,REAL,B3,37
ES,prior_close,REAL,B4,33
ES,prior_close,REAL,B5,27
ES,prior_close,REAL,B6,22
ES,prior_close,SYNTHETIC,B1,537
ES,prior_close,SYNTHETIC,B2,124
ES,prior_close,SYNTHETIC,B3,65
ES,prior_close,SYNTHETIC,B4,50
ES,prior_close,SYNTHETIC,B5,26
ES,prior_close,SYNTHETIC,B6,23
ES,prior_high,REAL,B1,138
ES,prior_high,REAL,B2,48
ES,prior_high,REAL,B3,13
ES,prior_high,REAL,B4,23
ES,prior_high,REAL,B5,17
ES,prior_high,REAL,B6,22
ES,prior_high,SYNTHETIC,B1,493
ES,prior_high,SYNTHETIC,B2,130
ES,prior_high,SYNTHETIC,B3,55
ES,prior_high,SYNTHETIC,B4,50
ES,prior_high,SYNTHETIC,B5,28
ES,prior_high,SYNTHETIC,B6,23
ES,prior_low,REAL,B1,101
ES,prior_low,REAL,B2,38
ES,prior_low,REAL,B3,13
ES,prior_low,REAL,B4,18
ES,prior_low,REAL,B5,16
ES,prior_low,REAL,B6,8
ES,prior_low,SYNTHETIC,B1,541
ES,prior_low,SYNTHETIC,B2,135
ES,prior_low,SYNTHETIC,B3,58
ES,prior_low,SYNTHETIC,B4,37
ES,prior_low,SYNTHETIC,B5,36
ES,prior_low,SYNTHETIC,B6,21
ES,prior_rth_mid,REAL,B1,144
ES,prior_rth_mid,REAL,B2,42
