instrument,level_id,n_mutually_eligible,real_touch_rate,synthetic_touch_rate
ES,mad_D_1.0,1226,0.8686786296900489,0.8719412724306689
ES,mad_D_1.5,1226,0.8148450244698205,0.8123980424143556
ES,mad_D_2.0,1226,0.7773246329526917,0.7765089722675367
ES,mad_U_1.0,1226,0.8907014681892332,0.8955954323001631
ES,mad_U_1.5,1226,0.831973898858075,0.8246329526916802
ES,mad_U_2.0,1226,0.7699836867862969,0.7748776508972267
ES,mult_D_0.5,1226,0.9298531810766721,0.8817292006525286
ES,mult_D_1.0,1226,0.8564437194127243,0.8132137030995106
ES,mult_D_1.5,1226,0.7895595432300163,0.7618270799347472
ES,mult_D_2.0,1226,0.7479608482871125,0.6876019575856444
ES,mult_U_0.5,1226,0.9420880913539967,0.8939641109298532
ES,mult_U_1.0,1226,0.8613376835236541,0.8123980424143556
ES,mult_U_1.5,1226,0.7756933115823818,0.734910277324633
ES,mult_U_2.0,1226,0.7039151712887439,0.6378466557911908
ES,overnight_high,1226,0.36133768352365414,0.6655791190864601
ES,overnight_low,1226,0.3034257748776509,0.6908646003262643
ES,overnight_mid,1226,0.5522022838499184,0.7398042414355628
ES,overnight_open,1226,0.3833605220228385,0.7055464926590538
ES,prior_close,1185,0.3012658227848101,0.6962025316455697
ES,prior_high,1185,0.20843881856540084,0.6573839662447257
ES,prior_low,1185,0.15864978902953586,0.6987341772151898
ES,prior_rth_mid,1185,0.22278481012658227,0.6751054852320675
ES,prior_rth_vwap,1185,0.23459915611814347,0.6827004219409283
ES,q_D_p25,1226,0.9396411092985318,0.9257748776508973
ES,q_D_p75,1226,0.7740619902120718,0.7553017944535073
ES,q_D_p90,1226,0.6753670473083198,0.6933115823817292
ES,q_D_p95,1226,0.6076672104404568,0.6884176182707994
ES,q_U_p25,1226,0.9396411092985318,0.9135399673735726
ES,q_U_p75,1226,0.7610114192495921,0.7414355628058727
ES,q_U_p90,1226,0.6468189233278956,0.636215334420881
ES,q_U_p95,1226,0.5807504078303426,0.632137030995106
ES,vwap_on_j+0,1226,0.6035889070146819,0.7463295269168027
ES,vwap_on_j+1,1226,0.5693311582381729,0.736541598694943
ES,vwap_on_j+2,1226,0.3523654159869494,0.6574225122349103
ES,vwap_on_j+3,1226,0.16476345840130505,0.6313213703099511
ES,vwap_on_j-1,1226,0.5138662316476346,0.7430668841761827
ES,vwap_on_j-2,1226,0.3205546492659054,0.699021207177814
ES,vwap_on_j-3,1226,0.1737357259380098,0.6900489396411092
NQ,mad_D_1.0,1224,0.863562091503268,0.8643790849673203
NQ,mad_D_1.5,1224,0.8047385620915033,0.7949346405228758
NQ,mad_D_2.0,1224,0.7434640522875817,0.744281045751634
NQ,mad_U_1.0,1224,0.8856209150326797,0.8839869281045751
NQ,mad_U_1.5,1224,0.8169934640522876,0.8194444444444444
NQ,mad_U_2.0,1224,0.761437908496732,0.7598039215686274
NQ,mult_D_0.5,1224,0.9166666666666666,0.8799019607843137
NQ,mult_D_1.0,1224,0.8472222222222222,0.8022875816993464
NQ,mult_D_1.5,1224,0.7728758169934641,0.7401960784313726
NQ,mult_D_2.0,1224,0.7181372549019608,0.6560457516339869
NQ,mult_U_0.5,1224,0.9321895424836601,0.8905228758169934
NQ,mult_U_1.0,1224,0.8553921568627451,0.8186274509803921
NQ,mult_U_1.5,1224,0.7859477124183006,0.7524509803921569
NQ,mult_U_2.0,1224,0.7165032679738562,0.6462418300653595
NQ,overnight_high,1224,0.41911764705882354,0.6813725490196079
NQ,overnight_low,1224,0.3741830065359477,0.6887254901960784
NQ,overnight_mid,1224,0.6127450980392157,0.7655228758169934
NQ,overnight_open,1224,0.4477124183006536,0.7165032679738562
NQ,prior_close,1183,0.3508030431107354,0.7066779374471682
NQ,prior_high,1183,0.2459847844463229,0.68385460693153
NQ,prior_low,1183,0.18427726120033813,0.68385460693153
NQ,prior_rth_mid,1183,0.2704987320371936,0.6906170752324599
NQ,prior_rth_vwap,1183,0.2772612003381234,0.6931530008453085
NQ,q_D_p25,1224,0.9264705882352942,0.9240196078431373
NQ,q_D_p75,1224,0.7483660130718954,0.7549019607843137
NQ,q_D_p90,1224,0.6617647058823529,0.6748366013071896
NQ,q_D_p95,1224,0.5947712418300654,0.6601307189542484
NQ,q_U_p25,1224,0.9313725490196079,0.9321895424836601
NQ,q_U_p75,1224,0.7687908496732027,0.7589869281045751
NQ,q_U_p90,1224,0.6642156862745098,0.6527777777777778
NQ,q_U_p95,1224,0.5980392156862745,0.636437908496732
NQ,vwap_on_j+0,1224,0.6576797385620915,0.7696078431372549
NQ,vwap_on_j+1,1224,0.6217320261437909,0.7508169934640523
NQ,vwap_on_j+2,1224,0.4199346405228758,0.6862745098039216
NQ,vwap_on_j+3,1224,0.24918300653594772,0.6454248366013072
NQ,vwap_on_j-1,1224,0.576797385620915,0.7312091503267973
NQ,vwap_on_j-2,1224,0.39950980392156865,0.684640522875817
NQ,vwap_on_j-3,1224,0.24509803921568626,0.6625816993464052
