instrument,level_id,year,n_eligible_sessions,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_family_b_pairs,median_D5_real,median_D5_synth,median_paired_D5_diff
ES,mad_D_1.0,2018,196,0.9132653061224489,0.923469387755102,1,3,0,-0.1119499999999789,-0.11055720455727472,
ES,mad_D_1.0,2019,258,0.8643410852713178,0.8449612403100775,7,2,0,-0.08955999999998313,-0.0693385873326406,
ES,mad_D_1.0,2020,256,0.8515625,0.859375,2,4,0,-0.22157857142862797,-0.16265435310861137,
ES,mad_D_1.0,2021,258,0.8372093023255814,0.8527131782945736,1,5,0,0.17598499999967315,-0.04837849175043327,
ES,mad_D_1.0,2022,258,0.8875968992248062,0.8914728682170543,2,3,0,0.6928909090909822,0.7588645526980794,
ES,mad_D_1.5,2018,196,0.8571428571428571,0.8673469387755102,0,2,0,-0.028616666666721358,-0.23332010882904797,
ES,mad_D_1.5,2019,258,0.8023255813953488,0.7984496124031008,3,2,0,0.054716666666536184,0.06554335575653697,
ES,mad_D_1.5,2020,256,0.78125,0.78515625,2,3,0,-0.31195000000006984,-0.276845148843222,
ES,mad_D_1.5,2021,258,0.7790697674418605,0.7635658914728682,5,1,0,0.15777142857145268,0.1963040661012201,
ES,mad_D_1.5,2022,258,0.8643410852713178,0.8604651162790697,2,1,0,0.32571176470596314,0.3605986141064504,
ES,mad_D_2.0,2018,196,0.8418367346938775,0.8367346938775511,2,1,0,-0.31013333333309373,-0.0991209932184726,
ES,mad_D_2.0,2019,258,0.7441860465116279,0.751937984496124,1,3,0,0.02088000000003376,0.1162183711169746,
ES,mad_D_2.0,2020,256,0.75390625,0.7421875,4,1,0,-0.37911999999996626,-0.31292102961986534,
ES,mad_D_2.0,2021,258,0.7364341085271318,0.7364341085271318,2,2,0,-0.07235079365082563,0.08105314658435721,
ES,mad_D_2.0,2022,258,0.8255813953488372,0.8294573643410853,1,2,0,0.46764444444448194,0.3346717993472541,
ES,mad_U_1.0,2018,196,0.9438775510204082,0.9540816326530612,0,2,0,0.1380500000000211,0.2550908421342683,
ES,mad_U_1.0,2019,258,0.8178294573643411,0.8178294573643411,2,2,0,0.2586999999998625,0.2516639954782477,
ES,mad_U_1.0,2020,256,0.90234375,0.91796875,1,5,0,-0.30594886363641394,-0.254406666920507,
ES,mad_U_1.0,2021,258,0.8875968992248062,0.8875968992248062,2,2,0,0.11043999999965308,0.16369274730156272,
ES,mad_U_1.0,2022,258,0.9147286821705426,0.9147286821705426,3,3,0,-0.2728954751131025,-0.340542818571377,
ES,mad_U_1.5,2018,196,0.9132653061224489,0.8979591836734694,5,2,0,0.1380500000000211,-0.08009876980413537,
ES,mad_U_1.5,2019,258,0.7868217054263565,0.7635658914728682,6,0,0,0.2656599999998434,0.2603050757775236,
ES,mad_U_1.5,2020,256,0.80859375,0.81640625,3,5,0,-0.550136868686891,-0.2883892144282577,
ES,mad_U_1.5,2021,258,0.8372093023255814,0.8372093023255814,2,2,0,-0.14180333333321565,-0.08756637636919809,
ES,mad_U_1.5,2022,258,0.8333333333333334,0.8255813953488372,6,4,0,-0.23655454545455126,-0.02891420930959262,
ES,mad_U_2.0,2018,196,0.8571428571428571,0.8877551020408163,0,6,0,0.014499999999998181,0.0033707109498664067,
ES,mad_U_2.0,2019,258,0.7209302325581395,0.7325581395348837,2,5,0,0.2674000000001797,0.23719869681887454,
ES,mad_U_2.0,2020,256,0.7265625,0.72265625,3,2,0,-0.0659333333333052,-0.15711000521429141,
ES,mad_U_2.0,2021,258,0.7751937984496124,0.7829457364341085,3,5,0,-0.01400535714282926,-0.10913529570837,
ES,mad_U_2.0,2022,258,0.7906976744186046,0.7751937984496124,5,1,0,-0.0703985111662265,0.03944059451206783,
ES,mult_D_0.5,2018,196,0.9540816326530612,0.9132653061224489,8,0,0,-0.5,-0.08083858968833131,
ES,mult_D_0.5,2019,258,0.9147286821705426,0.8449612403100775,18,0,0,-0.1,-0.1698728923186991,
ES,mult_D_0.5,2020,256,0.9140625,0.875,10,0,0,0.0,-0.1462225907343444,
ES,mult_D_0.5,2021,258,0.9341085271317829,0.8682170542635659,17,0,0,-0.029411764705882353,0.1953931594256978,
ES,mult_D_0.5,2022,258,0.937984496124031,0.9147286821705426,6,0,0,0.8028846153846154,0.6683328561432036,
ES,mult_D_1.0,2018,196,0.8979591836734694,0.8418367346938775,11,0,0,0.0,-0.1286584568424587,
ES,mult_D_1.0,2019,258,0.8255813953488372,0.7713178294573644,14,0,0,-0.2,0.14351844059031768,
ES,mult_D_1.0,2020,256,0.84375,0.796875,12,0,0,-0.2,-0.2152766153798279,
ES,mult_D_1.0,2021,258,0.8294573643410853,0.7984496124031008,8,0,0,0.25,0.11607992387280319,
ES,mult_D_1.0,2022,258,0.8953488372093024,0.8643410852713178,8,0,0,0.5714285714285714,0.7211846138940446,
ES,mult_D_1.5,2018,196,0.8214285714285714,0.7959183673469388,5,0,0,-0.25,-0.2664478173959045,
ES,mult_D_1.5,2019,258,0.751937984496124,0.7286821705426356,6,0,0,0.0,0.05196221800697458,
ES,mult_D_1.5,2020,256,0.765625,0.73828125,7,0,0,-0.25303643724696356,-0.27736633773551705,
ES,mult_D_1.5,2021,258,0.7674418604651163,0.7286821705426356,10,0,0,0.0,0.040499921188489274,
ES,mult_D_1.5,2022,258,0.8488372093023255,0.8255813953488372,6,0,0,0.375,0.34772350739585817,
ES,mult_D_2.0,2018,196,0.7755102040816326,0.7040816326530612,14,0,0,-0.5,-0.3836786332246144,
ES,mult_D_2.0,2019,258,0.7054263565891473,0.627906976744186,20,0,0,0.0,-0.11288507912668137,
ES,mult_D_2.0,2020,256,0.7265625,0.65625,18,0,0,-0.4642857142857143,-0.5111608776175267,
