instrument,level_id,horizon,k,arm,barrier_order,n
ES,mad_D_1.0,1,0.5,REAL,CONTINUATION_FIRST,373
ES,mad_D_1.0,1,0.5,REAL,REJECTION_FIRST,363
ES,mad_D_1.0,1,0.5,REAL,SAME_BAR_BARRIER_TIE,318
ES,mad_D_1.0,1,0.5,REAL,NEITHER_REACHED,11
ES,mad_D_1.0,1,0.5,SYNTHETIC,REJECTION_FIRST,364
ES,mad_D_1.0,1,0.5,SYNTHETIC,CONTINUATION_FIRST,363
ES,mad_D_1.0,1,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,314
ES,mad_D_1.0,1,0.5,SYNTHETIC,NEITHER_REACHED,13
ES,mad_D_1.0,1,1.0,REAL,CONTINUATION_FIRST,398
ES,mad_D_1.0,1,1.0,REAL,REJECTION_FIRST,392
ES,mad_D_1.0,1,1.0,REAL,SAME_BAR_BARRIER_TIE,141
ES,mad_D_1.0,1,1.0,REAL,NEITHER_REACHED,134
ES,mad_D_1.0,1,1.0,SYNTHETIC,REJECTION_FIRST,395
ES,mad_D_1.0,1,1.0,SYNTHETIC,CONTINUATION_FIRST,391
ES,mad_D_1.0,1,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,147
ES,mad_D_1.0,1,1.0,SYNTHETIC,NEITHER_REACHED,121
ES,mad_D_1.0,1,1.5,REAL,REJECTION_FIRST,351
ES,mad_D_1.0,1,1.5,REAL,CONTINUATION_FIRST,334
ES,mad_D_1.0,1,1.5,REAL,NEITHER_REACHED,324
ES,mad_D_1.0,1,1.5,REAL,SAME_BAR_BARRIER_TIE,56
ES,mad_D_1.0,1,1.5,SYNTHETIC,REJECTION_FIRST,353
ES,mad_D_1.0,1,1.5,SYNTHETIC,CONTINUATION_FIRST,324
ES,mad_D_1.0,1,1.5,SYNTHETIC,NEITHER_REACHED,321
ES,mad_D_1.0,1,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,56
ES,mad_D_1.0,1,2.0,REAL,NEITHER_REACHED,500
ES,mad_D_1.0,1,2.0,REAL,REJECTION_FIRST,278
ES,mad_D_1.0,1,2.0,REAL,CONTINUATION_FIRST,264
