instrument,level_id,family_a_n_mutual,family_a_confirmatory,family_b_n_pairs,family_b_confirmatory
ES,mad_D_1.0,1226,True,0,False
ES,mad_D_1.5,1226,True,0,False
ES,mad_D_2.0,1226,False,0,False
ES,mad_U_1.0,1226,True,0,False
ES,mad_U_1.5,1226,True,0,False
ES,mad_U_2.0,1226,True,0,False
ES,mult_D_0.5,1226,True,0,False
ES,mult_D_1.0,1226,True,0,False
ES,mult_D_1.5,1226,True,0,False
ES,mult_D_2.0,1226,True,0,False
ES,mult_U_0.5,1226,True,0,False
ES,mult_U_1.0,1226,True,0,False
ES,mult_U_1.5,1226,True,0,False
ES,mult_U_2.0,1226,True,0,False
ES,overnight_high,1226,True,0,False
ES,overnight_low,1226,True,0,False
ES,overnight_mid,1226,True,0,False
ES,overnight_open,1226,True,0,False
ES,prior_close,1185,True,0,False
ES,prior_high,1185,True,0,False
ES,prior_low,1185,True,0,False
ES,prior_rth_mid,1185,True,0,False
ES,prior_rth_vwap,1185,True,0,False
ES,q_D_p25,1226,True,0,False
ES,q_D_p75,1226,True,0,False
ES,q_D_p90,1226,True,0,False
ES,q_D_p95,1226,True,0,False
ES,q_U_p25,1226,True,0,False
ES,q_U_p75,1226,True,0,False
ES,q_U_p90,1226,True,0,False
ES,q_U_p95,1226,True,0,False
ES,vwap_on_j+0,1226,True,0,False
ES,vwap_on_j+1,1226,True,0,False
ES,vwap_on_j+2,1226,True,0,False
ES,vwap_on_j+3,1226,True,0,False
ES,vwap_on_j-1,1226,True,0,False
ES,vwap_on_j-2,1226,True,0,False
ES,vwap_on_j-3,1226,True,0,False
NQ,mad_D_1.0,1224,True,0,False
NQ,mad_D_1.5,1224,True,0,False
NQ,mad_D_2.0,1224,True,0,False
NQ,mad_U_1.0,1224,True,0,False
NQ,mad_U_1.5,1224,True,0,False
NQ,mad_U_2.0,1224,True,0,False
NQ,mult_D_0.5,1224,True,0,False
NQ,mult_D_1.0,1224,True,0,False
NQ,mult_D_1.5,1224,True,0,False
NQ,mult_D_2.0,1224,True,0,False
NQ,mult_U_0.5,1224,True,0,False
NQ,mult_U_1.0,1224,True,0,False
NQ,mult_U_1.5,1224,True,0,False
NQ,mult_U_2.0,1224,True,0,False
NQ,overnight_high,1224,True,0,False
NQ,overnight_low,1224,True,0,False
NQ,overnight_mid,1224,True,0,False
NQ,overnight_open,1224,True,0,False
NQ,prior_close,1183,True,0,False
NQ,prior_high,1183,True,0,False
NQ,prior_low,1183,True,0,False
NQ,prior_rth_mid,1183,True,0,False
NQ,prior_rth_vwap,1183,True,0,False
NQ,q_D_p25,1224,True,0,False
NQ,q_D_p75,1224,True,0,False
NQ,q_D_p90,1224,True,0,False
NQ,q_D_p95,1224,True,0,False
NQ,q_U_p25,1224,True,0,False
NQ,q_U_p75,1224,True,0,False
NQ,q_U_p90,1224,True,0,False
NQ,q_U_p95,1224,True,0,False
NQ,vwap_on_j+0,1224,True,0,False
NQ,vwap_on_j+1,1224,True,0,False
NQ,vwap_on_j+2,1224,True,0,False
NQ,vwap_on_j+3,1224,True,0,False
NQ,vwap_on_j-1,1224,True,0,False
NQ,vwap_on_j-2,1224,True,0,False
NQ,vwap_on_j-3,1224,True,0,False
