instrument,level_id,arm,horizon,label_tau1.0,n
ES,mad_U_1.0,REAL,1,CONTINUATION,302
ES,mad_U_1.0,REAL,1,INCONCLUSIVE,502
ES,mad_U_1.0,REAL,1,REJECTION,287
ES,mad_U_1.0,REAL,3,CONTINUATION,355
ES,mad_U_1.0,REAL,3,INCONCLUSIVE,363
ES,mad_U_1.0,REAL,3,REJECTION,373
ES,mad_U_1.0,REAL,5,CONTINUATION,395
ES,mad_U_1.0,REAL,5,INCONCLUSIVE,297
ES,mad_U_1.0,REAL,5,REJECTION,399
ES,mad_U_1.0,REAL,10,CONTINUATION,413
ES,mad_U_1.0,REAL,10,INCONCLUSIVE,249
ES,mad_U_1.0,REAL,10,REJECTION,429
ES,mad_U_1.0,REAL,15,CONTINUATION,448
ES,mad_U_1.0,REAL,15,INCONCLUSIVE,211
ES,mad_U_1.0,REAL,15,REJECTION,432
ES,mad_U_1.0,SYNTHETIC,1,CONTINUATION,301
ES,mad_U_1.0,SYNTHETIC,1,INCONCLUSIVE,490
ES,mad_U_1.0,SYNTHETIC,1,REJECTION,290
ES,mad_U_1.0,SYNTHETIC,3,CONTINUATION,357
ES,mad_U_1.0,SYNTHETIC,3,INCONCLUSIVE,339
ES,mad_U_1.0,SYNTHETIC,3,REJECTION,385
ES,mad_U_1.0,SYNTHETIC,5,CONTINUATION,390
ES,mad_U_1.0,SYNTHETIC,5,INCONCLUSIVE,296
ES,mad_U_1.0,SYNTHETIC,5,REJECTION,395
ES,mad_U_1.0,SYNTHETIC,10,CONTINUATION,411
ES,mad_U_1.0,SYNTHETIC,10,INCONCLUSIVE,236
ES,mad_U_1.0,SYNTHETIC,10,REJECTION,434
ES,mad_U_1.0,SYNTHETIC,15,CONTINUATION,442
ES,mad_U_1.0,SYNTHETIC,15,INCONCLUSIVE,219
ES,mad_U_1.0,SYNTHETIC,15,REJECTION,420
ES,mad_U_1.5,REAL,1,CONTINUATION,245
ES,mad_U_1.5,REAL,1,INCONCLUSIVE,513
ES,mad_U_1.5,REAL,1,REJECTION,261
ES,mad_U_1.5,REAL,3,CONTINUATION,334
ES,mad_U_1.5,REAL,3,INCONCLUSIVE,332
ES,mad_U_1.5,REAL,3,REJECTION,353
ES,mad_U_1.5,REAL,5,CONTINUATION,356
ES,mad_U_1.5,REAL,5,INCONCLUSIVE,279
ES,mad_U_1.5,REAL,5,REJECTION,384
ES,mad_U_1.5,REAL,10,CONTINUATION,388
ES,mad_U_1.5,REAL,10,INCONCLUSIVE,245
ES,mad_U_1.5,REAL,10,REJECTION,386
ES,mad_U_1.5,REAL,15,CONTINUATION,420
ES,mad_U_1.5,REAL,15,INCONCLUSIVE,188
ES,mad_U_1.5,REAL,15,REJECTION,411
ES,mad_U_1.5,SYNTHETIC,1,CONTINUATION,245
ES,mad_U_1.5,SYNTHETIC,1,INCONCLUSIVE,514
ES,mad_U_1.5,SYNTHETIC,1,REJECTION,251
