instrument,level_id,horizon,k,n_real,n_synth,status,real_reach_continuation_rate,synth_reach_continuation_rate,real_reach_rejection_rate,synth_reach_rejection_rate
ES,mad_D_1.0,1,0.5,1065,1054,tested,0.6488262910798122,0.642314990512334,0.6394366197183099,0.6432637571157496
ES,mad_D_1.0,1,1.0,1065,1054,tested,0.5061032863849765,0.5104364326375711,0.5004694835680751,0.5142314990512334
ES,mad_D_1.0,1,1.5,1065,1054,tested,0.36619718309859156,0.3605313092979127,0.38215962441314555,0.38804554079696396
ES,mad_D_1.0,1,2.0,1065,1054,tested,0.26948356807511736,0.2675521821631879,0.28262910798122065,0.29316888045540795
ES,mad_D_1.0,3,0.5,1065,1054,tested,0.7652582159624414,0.7504743833017078,0.7474178403755869,0.7523719165085389
ES,mad_D_1.0,3,1.0,1065,1054,tested,0.64037558685446,0.6480075901328273,0.6309859154929578,0.635673624288425
ES,mad_D_1.0,3,1.5,1065,1054,tested,0.5464788732394367,0.5360531309297912,0.5305164319248826,0.5379506641366224
ES,mad_D_1.0,3,2.0,1065,1054,tested,0.45258215962441317,0.43738140417457305,0.4244131455399061,0.4411764705882353
ES,mad_D_1.0,5,0.5,1065,1054,tested,0.8075117370892019,0.8007590132827325,0.7943661971830986,0.7998102466793169
ES,mad_D_1.0,5,1.0,1065,1054,tested,0.7004694835680751,0.713472485768501,0.6929577464788732,0.698292220113852
ES,mad_D_1.0,5,1.5,1065,1054,tested,0.6150234741784038,0.611954459203036,0.6131455399061033,0.6024667931688804
ES,mad_D_1.0,5,2.0,1065,1054,tested,0.536150234741784,0.5218216318785579,0.5023474178403756,0.5104364326375711
ES,mad_D_1.0,10,0.5,1065,1054,tested,0.8403755868544601,0.8311195445920304,0.8403755868544601,0.8453510436432637
ES,mad_D_1.0,10,1.0,1065,1054,tested,0.7652582159624414,0.7732447817836812,0.7690140845070422,0.7722960151802657
ES,mad_D_1.0,10,1.5,1065,1054,tested,0.7032863849765258,0.6973434535104365,0.7004694835680751,0.6963946869070209
