instrument,level_id,horizon,k,n_real,n_synth,status,real_reach_continuation_rate,synth_reach_continuation_rate,real_reach_rejection_rate,synth_reach_rejection_rate
ES,mad_D_1.0,10,2.0,1065,1054,tested,0.6272300469483568,0.6138519924098672,0.612206572769953,0.6110056925996205
ES,mad_D_1.0,15,0.5,1065,1054,tested,0.8647887323943662,0.8586337760910816,0.860093896713615,0.8633776091081594
ES,mad_D_1.0,15,1.0,1065,1054,tested,0.8009389671361502,0.8074003795066413,0.7971830985915493,0.7998102466793169
ES,mad_D_1.0,15,1.5,1065,1054,tested,0.7464788732394366,0.7381404174573055,0.748356807511737,0.7438330170777988
ES,mad_D_1.0,15,2.0,1065,1054,tested,0.6788732394366197,0.6688804554079696,0.676056338028169,0.6736242884250474
ES,mad_D_1.5,1,0.5,999,996,tested,0.6316316316316316,0.6355421686746988,0.6486486486486487,0.6526104417670683
ES,mad_D_1.5,1,1.0,999,996,tested,0.4794794794794795,0.4929718875502008,0.5135135135135135,0.5210843373493976
ES,mad_D_1.5,1,1.5,999,996,tested,0.35135135135135137,0.3493975903614458,0.38738738738738737,0.38755020080321284
ES,mad_D_1.5,1,2.0,999,996,tested,0.26226226226226224,0.2620481927710843,0.2852852852852853,0.2901606425702811
ES,mad_D_1.5,3,0.5,999,996,tested,0.7397397397397397,0.7389558232931727,0.7517517517517518,0.7429718875502008
ES,mad_D_1.5,3,1.0,999,996,tested,0.6376376376376376,0.6375502008032129,0.6466466466466466,0.6506024096385542
ES,mad_D_1.5,3,1.5,999,996,tested,0.5455455455455456,0.5371485943775101,0.5455455455455456,0.5431726907630522
ES,mad_D_1.5,3,2.0,999,996,tested,0.4364364364364364,0.4397590361445783,0.44544544544544545,0.45180722891566266
ES,mad_D_1.5,5,0.5,999,996,tested,0.7897897897897898,0.7871485943775101,0.7967967967967968,0.7931726907630522
ES,mad_D_1.5,5,1.0,999,996,tested,0.6946946946946947,0.6977911646586346,0.7077077077077077,0.7098393574297188
ES,mad_D_1.5,5,1.5,999,996,tested,0.6116116116116116,0.608433734939759,0.6086086086086087,0.6114457831325302
ES,mad_D_1.5,5,2.0,999,996,tested,0.5175175175175175,0.5261044176706827,0.5175175175175175,0.5200803212851406
ES,mad_D_1.5,10,0.5,999,996,tested,0.8348348348348348,0.8363453815261044,0.8478478478478478,0.8443775100401606
ES,mad_D_1.5,10,1.0,999,996,tested,0.7707707707707707,0.7781124497991968,0.7787787787787788,0.7881526104417671
ES,mad_D_1.5,10,1.5,999,996,tested,0.6956956956956957,0.6927710843373494,0.7087087087087087,0.7078313253012049
ES,mad_D_1.5,10,2.0,999,996,tested,0.6116116116116116,0.6265060240963856,0.6326326326326326,0.6355421686746988
ES,mad_D_1.5,15,0.5,999,996,tested,0.8688688688688688,0.8644578313253012,0.8658658658658659,0.8654618473895582
ES,mad_D_1.5,15,1.0,999,996,tested,0.8148148148148148,0.8162650602409639,0.8068068068068068,0.8122489959839357
ES,mad_D_1.5,15,1.5,999,996,tested,0.7407407407407407,0.7459839357429718,0.7447447447447447,0.7469879518072289
ES,mad_D_1.5,15,2.0,999,996,tested,0.6576576576576577,0.6736947791164659,0.6896896896896897,0.6907630522088354
ES,mad_D_2.0,1,0.5,953,952,tested,0.6285414480587618,0.6228991596638656,0.6610703043022036,0.6491596638655462
ES,mad_D_2.0,1,1.0,953,952,tested,0.47639034627492133,0.4737394957983193,0.49422875131164745,0.5010504201680672
ES,mad_D_2.0,1,1.5,953,952,tested,0.3378803777544596,0.3560924369747899,0.40293809024134314,0.4054621848739496
ES,mad_D_2.0,1,2.0,953,952,tested,0.2528856243441763,0.25315126050420167,0.3011542497376705,0.29411764705882354
ES,mad_D_2.0,3,0.5,953,952,tested,0.7460650577124869,0.7394957983193278,0.770199370409234,0.7510504201680672
ES,mad_D_2.0,3,1.0,953,952,tested,0.6505771248688352,0.6334033613445378,0.6316894018887723,0.6376050420168067
ES,mad_D_2.0,3,1.5,953,952,tested,0.5194123819517313,0.5315126050420168,0.5498426023084995,0.5514705882352942
ES,mad_D_2.0,3,2.0,953,952,tested,0.42392444910807975,0.4264705882352941,0.459601259181532,0.45168067226890757
ES,mad_D_2.0,5,0.5,953,952,tested,0.789087093389297,0.7930672268907563,0.8132214060860441,0.7962184873949579
ES,mad_D_2.0,5,1.0,953,952,tested,0.7093389296956978,0.6985294117647058,0.695697796432319,0.7048319327731093
ES,mad_D_2.0,5,1.5,953,952,tested,0.5855194123819517,0.5955882352941176,0.6138509968520461,0.615546218487395
ES,mad_D_2.0,5,2.0,953,952,tested,0.5026232948583421,0.4989495798319328,0.5351521511017838,0.5283613445378151
ES,mad_D_2.0,10,0.5,953,952,tested,0.8426023084994754,0.8445378151260504,0.8677859391395593,0.8497899159663865
ES,mad_D_2.0,10,1.0,953,952,tested,0.7796432318992654,0.7741596638655462,0.7754459601259182,0.7804621848739496
ES,mad_D_2.0,10,1.5,953,952,tested,0.6799580272822665,0.6985294117647058,0.7156348373557188,0.7016806722689075
ES,mad_D_2.0,10,2.0,953,952,tested,0.6128016789087093,0.6165966386554622,0.6432318992654774,0.6407563025210085
ES,mad_D_2.0,15,0.5,953,952,tested,0.8772298006295908,0.8771008403361344,0.8824763903462749,0.8707983193277311
ES,mad_D_2.0,15,1.0,953,952,tested,0.8205666316894019,0.8077731092436975,0.8016789087093389,0.8098739495798319
ES,mad_D_2.0,15,1.5,953,952,tested,0.7240293809024134,0.7310924369747899,0.7534102833158447,0.7426470588235294
ES,mad_D_2.0,15,2.0,953,952,tested,0.6600209863588667,0.6628151260504201,0.695697796432319,0.6922268907563025
ES,mad_U_1.0,1,0.5,1091,1081,tested,0.613198900091659,0.61054579093432,0.6058661778185152,0.6151711378353376
ES,mad_U_1.0,1,1.0,1091,1081,tested,0.45004582951420713,0.4421831637372803,0.45187901008249315,0.4551341350601295
ES,mad_U_1.0,1,1.5,1091,1081,tested,0.32538955087076077,0.3172987974098057,0.3281393217231897,0.33950046253469013
ES,mad_U_1.0,1,2.0,1091,1081,tested,0.2153987167736022,0.22294172062904719,0.2373968835930339,0.22756706753006475
ES,mad_U_1.0,3,0.5,1091,1081,tested,0.7406049495875344,0.7261794634597595,0.7277726856095326,0.7224791859389454
ES,mad_U_1.0,3,1.0,1091,1081,tested,0.5930339138405133,0.580018501387604,0.6095325389550871,0.6086956521739131
ES,mad_U_1.0,3,1.5,1091,1081,tested,0.4692942254812099,0.4671600370027752,0.5013748854262144,0.509713228492137
ES,mad_U_1.0,3,2.0,1091,1081,tested,0.35838680109990834,0.3617021276595745,0.4032997250229148,0.4051803885291397
ES,mad_U_1.0,5,0.5,1091,1081,tested,0.7891842346471127,0.7770582793709528,0.770852428964253,0.7650323774283071
ES,mad_U_1.0,5,1.0,1091,1081,tested,0.6590284142988084,0.6475485661424607,0.6681943171402384,0.6632747456059205
ES,mad_U_1.0,5,1.5,1091,1081,tested,0.5554537121906508,0.5467160037002775,0.5820348304307974,0.5837187789084182
ES,mad_U_1.0,5,2.0,1091,1081,tested,0.44179651695692024,0.44495837187789083,0.4986251145737855,0.5004625346901017
ES,mad_U_1.0,10,0.5,1091,1081,tested,0.84051329055912,0.8279370952821462,0.8130155820348305,0.8094357076780758
ES,mad_U_1.0,10,1.0,1091,1081,tested,0.7341888175985335,0.7150786308973173,0.7268560953253895,0.7243293246993524
ES,mad_U_1.0,10,1.5,1091,1081,tested,0.6434463794683777,0.6299722479185939,0.6535288725939505,0.6586493987049029
ES,mad_U_1.0,10,2.0,1091,1081,tested,0.5407882676443629,0.5383903792784459,0.5902841429880843,0.5901942645698427
ES,mad_U_1.0,15,0.5,1091,1081,tested,0.8652612282309807,0.8464384828862165,0.8386801099908341,0.8334875115633672
ES,mad_U_1.0,15,1.0,1091,1081,tested,0.769019248395967,0.7567067530064755,0.7626031164069661,0.7539315448658649
ES,mad_U_1.0,15,1.5,1091,1081,tested,0.6975252062328139,0.6873265494912119,0.689275893675527,0.6891766882516188
ES,mad_U_1.0,15,2.0,1091,1081,tested,0.6040329972502292,0.6003700277520814,0.6333638863428047,0.6281221091581869
ES,mad_U_1.5,1,0.5,1019,1010,tested,0.6074582924435721,0.6237623762376238,0.6015701668302257,0.599009900990099
ES,mad_U_1.5,1,1.0,1019,1010,tested,0.4435721295387635,0.4495049504950495,0.450441609421001,0.4396039603960396
ES,mad_U_1.5,1,1.5,1019,1010,tested,0.29538763493621195,0.29504950495049503,0.31894013738959764,0.30495049504950494
ES,mad_U_1.5,1,2.0,1019,1010,tested,0.20510304219823355,0.2079207920792079,0.2296368989205103,0.22178217821782178
ES,mad_U_1.5,3,0.5,1019,1010,tested,0.7144259077526988,0.7336633663366336,0.7281648675171737,0.7247524752475247
ES,mad_U_1.5,3,1.0,1019,1010,tested,0.5789990186457311,0.601980198019802,0.6133464180569186,0.6039603960396039
ES,mad_U_1.5,3,1.5,1019,1010,tested,0.44847890088321885,0.45742574257425744,0.49362119725220804,0.4792079207920792
ES,mad_U_1.5,3,2.0,1019,1010,tested,0.3562315996074583,0.36237623762376237,0.4013738959764475,0.3900990099009901
ES,mad_U_1.5,5,0.5,1019,1010,tested,0.7684003925417076,0.7861386138613862,0.7644749754661433,0.7702970297029703
ES,mad_U_1.5,5,1.0,1019,1010,tested,0.6496565260058881,0.6683168316831684,0.6692836113837095,0.6653465346534654
ES,mad_U_1.5,5,1.5,1019,1010,tested,0.534838076545633,0.5396039603960396,0.5682041216879293,0.5514851485148515
ES,mad_U_1.5,5,2.0,1019,1010,tested,0.42885181550539747,0.4316831683168317,0.5014720314033366,0.48217821782178216
ES,mad_U_1.5,10,0.5,1019,1010,tested,0.8233562315996075,0.8425742574257425,0.8115799803729146,0.8207920792079207
ES,mad_U_1.5,10,1.0,1019,1010,tested,0.7301275760549558,0.7514851485148515,0.7360157016683022,0.7346534653465346
ES,mad_U_1.5,10,1.5,1019,1010,tested,0.6261040235525025,0.6336633663366337,0.6457311089303238,0.6396039603960396
ES,mad_U_1.5,10,2.0,1019,1010,tested,0.5220804710500491,0.5336633663366337,0.5789990186457311,0.5613861386138614
ES,mad_U_1.5,15,0.5,1019,1010,tested,0.8498527968596663,0.8663366336633663,0.8370951913640824,0.8435643564356435
ES,mad_U_1.5,15,1.0,1019,1010,tested,0.774288518155054,0.7881188118811882,0.7693817468105987,0.7673267326732673
ES,mad_U_1.5,15,1.5,1019,1010,tested,0.6879293424926398,0.697029702970297,0.6889106967615309,0.6792079207920793
ES,mad_U_1.5,15,2.0,1019,1010,tested,0.5976447497546614,0.6079207920792079,0.6241413150147204,0.6138613861386139
ES,mad_U_2.0,1,0.5,943,949,tested,0.6108165429480382,0.613277133825079,0.5991516436903499,0.6037934668071654
ES,mad_U_2.0,1,1.0,943,949,tested,0.4411452810180276,0.44257112750263433,0.42629904559915166,0.440463645943098
ES,mad_U_2.0,1,1.5,943,949,tested,0.28844114528101805,0.2929399367755532,0.30858960763520676,0.3087460484720759
ES,mad_U_2.0,1,2.0,943,949,tested,0.19830328738069988,0.20126448893572182,0.2110286320254507,0.21496311907270813
ES,mad_U_2.0,3,0.5,943,949,tested,0.7306468716861082,0.7386722866174921,0.7253446447507953,0.7218124341412012
ES,mad_U_2.0,3,1.0,943,949,tested,0.6033934252386002,0.5911485774499473,0.5896076352067868,0.6006322444678609
ES,mad_U_2.0,3,1.5,943,949,tested,0.4591728525980912,0.4594309799789252,0.47720042417815484,0.47629083245521603
ES,mad_U_2.0,3,2.0,943,949,tested,0.3616118769883351,0.36143308746048475,0.38494167550371156,0.38672286617492097
ES,mad_U_2.0,5,0.5,943,949,tested,0.7857900318133616,0.7934668071654373,0.7645811240721103,0.7576396206533192
ES,mad_U_2.0,5,1.0,943,949,tested,0.6744432661717922,0.6638566912539515,0.6415694591728526,0.6501580611169653
ES,mad_U_2.0,5,1.5,943,949,tested,0.5302226935312832,0.5374077976817703,0.5514316012725344,0.5521601685985248
ES,mad_U_2.0,5,2.0,943,949,tested,0.4496288441145281,0.4499473129610116,0.46447507953340406,0.4773445732349842
ES,mad_U_2.0,10,0.5,943,949,tested,0.83881230116649,0.8482613277133825,0.8260869565217391,0.8103266596417281
ES,mad_U_2.0,10,1.0,943,949,tested,0.7529162248144221,0.7428872497365648,0.7136797454931071,0.7175974710221286
ES,mad_U_2.0,10,1.5,943,949,tested,0.6224814422057264,0.6280295047418335,0.633085896076352,0.6280295047418335
ES,mad_U_2.0,10,2.0,943,949,tested,0.5524920466595971,0.5563751317175974,0.5535524920466596,0.5500526870389885
ES,mad_U_2.0,15,0.5,943,949,tested,0.8685047720042418,0.8724973656480506,0.8504772004241782,0.8387776606954689
ES,mad_U_2.0,15,1.0,943,949,tested,0.7985153764581124,0.7945205479452054,0.7433722163308589,0.7576396206533192
ES,mad_U_2.0,15,1.5,943,949,tested,0.6935312831389183,0.6965226554267651,0.6776246023329798,0.6701791359325606
ES,mad_U_2.0,15,2.0,943,949,tested,0.6214209968186638,0.6290832455216017,0.6044538706256628,0.6048472075869337
ES,mult_D_0.5,1,0.5,1139,1081,tested,0.6294995610184372,0.6438482886216467,0.6821773485513608,0.6456984273820536
ES,mult_D_0.5,1,1.0,1139,1081,tested,0.4978050921861282,0.4967622571692877,0.553116769095698,0.5124884366327475
ES,mult_D_0.5,1,1.5,1139,1081,tested,0.3801580333625988,0.3617021276595745,0.45127304653204564,0.391304347826087
ES,mult_D_0.5,1,2.0,1139,1081,tested,0.26163301141352063,0.26549491211840887,0.33274802458296754,0.2895467160037003
ES,mult_D_0.5,3,0.5,1139,1081,tested,0.7339771729587358,0.7548566142460684,0.7629499561018437,0.7456059204440333
ES,mult_D_0.5,3,1.0,1139,1081,tested,0.6286215978928885,0.6419981498612396,0.6637401229148375,0.6401480111008325
ES,mult_D_0.5,3,1.5,1139,1081,tested,0.5364354697102721,0.5356151711378353,0.5741878841088675,0.5402405180388529
ES,mult_D_0.5,3,2.0,1139,1081,tested,0.43898156277436345,0.45420906567992597,0.4618086040386304,0.43293246993524515
ES,mult_D_0.5,5,0.5,1139,1081,tested,0.7761194029850746,0.8029602220166513,0.7989464442493416,0.7853839037927844
ES,mult_D_0.5,5,1.0,1139,1081,tested,0.6988586479367866,0.7049028677150786,0.7190517998244074,0.7021276595744681
ES,mult_D_0.5,5,1.5,1139,1081,tested,0.6119402985074627,0.6133209990749307,0.636523266022827,0.6133209990749307
ES,mult_D_0.5,5,2.0,1139,1081,tested,0.5258999122036875,0.5356151711378353,0.5285338015803336,0.5106382978723404
ES,mult_D_0.5,10,0.5,1139,1081,tested,0.8147497805092186,0.8334875115633672,0.8472344161545216,0.8381128584643849
ES,mult_D_0.5,10,1.0,1139,1081,tested,0.752414398595259,0.7678075855689177,0.7840210711150132,0.7752081406105458
ES,mult_D_0.5,10,1.5,1139,1081,tested,0.6900790166812993,0.6938020351526365,0.7269534679543459,0.7113783533765032
ES,mult_D_0.5,10,2.0,1139,1081,tested,0.617208077260755,0.6234967622571693,0.6259877085162423,0.6170212765957447
ES,mult_D_0.5,15,0.5,1139,1081,tested,0.8305531167690957,0.8556891766882516,0.8665496049165935,0.8566142460684552
ES,mult_D_0.5,15,1.0,1139,1081,tested,0.7840210711150132,0.8029602220166513,0.8112379280070237,0.8011100832562442
ES,mult_D_0.5,15,1.5,1139,1081,tested,0.7322212467076383,0.7335800185013877,0.7655838454784899,0.7456059204440333
ES,mult_D_0.5,15,2.0,1139,1081,tested,0.6628621597892889,0.6725254394079556,0.6769095697980685,0.669750231267345
ES,mult_D_1.0,1,0.5,1050,997,tested,0.6371428571428571,0.6349047141424273,0.6742857142857143,0.6539618856569709
ES,mult_D_1.0,1,1.0,1050,997,tested,0.5009523809523809,0.48044132397191575,0.5361904761904762,0.5055165496489469
ES,mult_D_1.0,1,1.5,1050,997,tested,0.3504761904761905,0.3630892678034102,0.4066666666666667,0.39518555667001004
ES,mult_D_1.0,1,2.0,1050,997,tested,0.26857142857142857,0.2587763289869609,0.31523809523809526,0.30792377131394183
ES,mult_D_1.0,3,0.5,1050,997,tested,0.7514285714285714,0.7362086258776329,0.7619047619047619,0.7582748244734202
ES,mult_D_1.0,3,1.0,1050,997,tested,0.6523809523809524,0.6359077231695085,0.659047619047619,0.6389167502507522
ES,mult_D_1.0,3,1.5,1050,997,tested,0.5380952380952381,0.5546639919759278,0.5485714285714286,0.5295887662988967
ES,mult_D_1.0,3,2.0,1050,997,tested,0.4504761904761905,0.42527582748244735,0.4580952380952381,0.44132397191574724
ES,mult_D_1.0,5,0.5,1050,997,tested,0.7980952380952381,0.7953861584754263,0.8019047619047619,0.7993981945837513
ES,mult_D_1.0,5,1.0,1050,997,tested,0.7114285714285714,0.6960882647943831,0.7114285714285714,0.695085255767302
ES,mult_D_1.0,5,1.5,1050,997,tested,0.6095238095238096,0.6248746238716149,0.62,0.59679037111334
ES,mult_D_1.0,5,2.0,1050,997,tested,0.5295238095238095,0.5175526579739218,0.5314285714285715,0.5115346038114343
ES,mult_D_1.0,10,0.5,1050,997,tested,0.8314285714285714,0.8405215646940822,0.8495238095238096,0.8445336008024072
ES,mult_D_1.0,10,1.0,1050,997,tested,0.7723809523809524,0.7713139418254764,0.7904761904761904,0.7743229689067201
ES,mult_D_1.0,10,1.5,1050,997,tested,0.6942857142857143,0.7051153460381143,0.7152380952380952,0.6970912738214644
ES,mult_D_1.0,10,2.0,1050,997,tested,0.6190476190476191,0.6198595787362087,0.6476190476190476,0.6248746238716149
ES,mult_D_1.0,15,0.5,1050,997,tested,0.8609523809523809,0.8696088264794383,0.8676190476190476,0.8635907723169508
ES,mult_D_1.0,15,1.0,1050,997,tested,0.8095238095238095,0.8134403209628887,0.8142857142857143,0.79839518555667
ES,mult_D_1.0,15,1.5,1050,997,tested,0.7390476190476191,0.7492477432296891,0.7514285714285714,0.7331995987963892
ES,mult_D_1.0,15,2.0,1050,997,tested,0.6752380952380952,0.6670010030090271,0.699047619047619,0.6810431293881645
ES,mult_D_1.5,1,0.5,968,934,tested,0.6549586776859504,0.6145610278372591,0.6807851239669421,0.6798715203426124
ES,mult_D_1.5,1,1.0,968,934,tested,0.48037190082644626,0.47002141327623126,0.5258264462809917,0.5149892933618844
ES,mult_D_1.5,1,1.5,968,934,tested,0.359504132231405,0.3404710920770878,0.41735537190082644,0.39400428265524623
ES,mult_D_1.5,1,2.0,968,934,tested,0.256198347107438,0.25267665952890794,0.30991735537190085,0.2965738758029979
ES,mult_D_1.5,3,0.5,968,934,tested,0.7592975206611571,0.7430406852248393,0.7840909090909091,0.771948608137045
ES,mult_D_1.5,3,1.0,968,934,tested,0.6446280991735537,0.6381156316916489,0.6570247933884298,0.6488222698072805
ES,mult_D_1.5,3,1.5,968,934,tested,0.5402892561983471,0.5235546038543897,0.5619834710743802,0.5438972162740899
ES,mult_D_1.5,3,2.0,968,934,tested,0.4297520661157025,0.4261241970021413,0.4659090909090909,0.4550321199143469
ES,mult_D_1.5,5,0.5,968,934,tested,0.8068181818181818,0.7922912205567452,0.8243801652892562,0.8190578158458244
ES,mult_D_1.5,5,1.0,968,934,tested,0.7076446280991735,0.6991434689507494,0.7076446280991735,0.7162740899357601
ES,mult_D_1.5,5,1.5,968,934,tested,0.6146694214876033,0.5974304068522484,0.6229338842975206,0.6027837259100642
ES,mult_D_1.5,5,2.0,968,934,tested,0.5092975206611571,0.5085653104925053,0.5361570247933884,0.5224839400428265
ES,mult_D_1.5,10,0.5,968,934,tested,0.8543388429752066,0.8458244111349036,0.868801652892562,0.8640256959314775
ES,mult_D_1.5,10,1.0,968,934,tested,0.7789256198347108,0.7773019271948608,0.78099173553719,0.784796573875803
ES,mult_D_1.5,10,1.5,968,934,tested,0.6962809917355371,0.6927194860813705,0.7169421487603306,0.6980728051391863
ES,mult_D_1.5,10,2.0,968,934,tested,0.6105371900826446,0.6081370449678801,0.643595041322314,0.6338329764453962
ES,mult_D_1.5,15,0.5,968,934,tested,0.8832644628099173,0.8736616702355461,0.8832644628099173,0.8843683083511777
ES,mult_D_1.5,15,1.0,968,934,tested,0.8181818181818182,0.8190578158458244,0.8068181818181818,0.816916488222698
ES,mult_D_1.5,15,1.5,968,934,tested,0.7479338842975206,0.7387580299785867,0.75,0.7387580299785867
ES,mult_D_1.5,15,2.0,968,934,tested,0.6590909090909091,0.6659528907922913,0.6911157024793388,0.6820128479657388
ES,mult_D_2.0,1,0.5,917,843,tested,0.6019629225736096,0.6215895610913404,0.7153762268266085,0.6880189798339265
ES,mult_D_2.0,1,1.0,917,843,tested,0.46455834242093785,0.4638196915776987,0.5648854961832062,0.5183867141162515
ES,mult_D_2.0,1,1.5,917,843,tested,0.3293347873500545,0.33926453143534996,0.4176663031624864,0.3831553973902728
ES,mult_D_2.0,1,2.0,917,843,tested,0.25517993456924754,0.24673784104389088,0.33042529989094876,0.298932384341637
ES,mult_D_2.0,3,0.5,917,843,tested,0.7404580152671756,0.7283511269276394,0.8026172300981461,0.7947805456702254
ES,mult_D_2.0,3,1.0,917,843,tested,0.6226826608505998,0.6168446026097272,0.6902944383860414,0.6725978647686833
ES,mult_D_2.0,3,1.5,917,843,tested,0.49727371864776443,0.5124555160142349,0.5747001090512541,0.5468564650059312
ES,mult_D_2.0,3,2.0,917,843,tested,0.42639040348964014,0.4092526690391459,0.48964013086150493,0.45077105575326215
ES,mult_D_2.0,5,0.5,917,843,tested,0.7851690294438386,0.7746144721233689,0.8418756815703381,0.8327402135231317
ES,mult_D_2.0,5,1.0,917,843,tested,0.6870229007633588,0.6927639383155397,0.7448200654307524,0.7354685646500593
ES,mult_D_2.0,5,1.5,917,843,tested,0.5736095965103599,0.5860023724792408,0.6390403489640131,0.6263345195729537
ES,mult_D_2.0,5,2.0,917,843,tested,0.5081788440567067,0.49347568208778175,0.5561613958560524,0.5219454329774614
ES,mult_D_2.0,10,0.5,917,843,tested,0.8386041439476554,0.833926453143535,0.8865866957470011,0.8778173190984578
ES,mult_D_2.0,10,1.0,917,843,tested,0.7611777535441657,0.7698695136417556,0.8080697928026173,0.8054567022538552
ES,mult_D_2.0,10,1.5,917,843,tested,0.6750272628135223,0.6963226571767497,0.7284623773173392,0.7069988137603797
ES,mult_D_2.0,10,2.0,917,843,tested,0.6128680479825518,0.6002372479240806,0.6630316248636859,0.627520759193357
ES,mult_D_2.0,15,0.5,917,843,tested,0.871319520174482,0.8612099644128114,0.8996728462377317,0.8896797153024911
ES,mult_D_2.0,15,1.0,917,843,tested,0.8091603053435115,0.8042704626334519,0.8353326063249727,0.8315539739027283
ES,mult_D_2.0,15,1.5,917,843,tested,0.7175572519083969,0.7425860023724793,0.7666303162486369,0.7473309608540926
ES,mult_D_2.0,15,2.0,917,843,tested,0.6684841875681571,0.66073546856465,0.7088331515812432,0.6785290628706999
ES,mult_U_0.5,1,0.5,1154,1095,tested,0.6152512998266898,0.6054794520547945,0.6499133448873483,0.6118721461187214
ES,mult_U_0.5,1,1.0,1154,1095,tested,0.46533795493934144,0.4557077625570776,0.49220103986135183,0.4621004566210046
ES,mult_U_0.5,1,1.5,1154,1095,tested,0.34488734835355284,0.3141552511415525,0.38648180242634317,0.33424657534246577
ES,mult_U_0.5,1,2.0,1154,1095,tested,0.22876949740034663,0.2219178082191781,0.2651646447140381,0.2401826484018265
ES,mult_U_0.5,3,0.5,1154,1095,tested,0.7339688041594454,0.7232876712328767,0.7564991334488734,0.7324200913242009
ES,mult_U_0.5,3,1.0,1154,1095,tested,0.6005199306759099,0.5799086757990868,0.634315424610052,0.617351598173516
ES,mult_U_0.5,3,1.5,1154,1095,tested,0.48353552859618715,0.4547945205479452,0.5415944540727903,0.5077625570776255
ES,mult_U_0.5,3,2.0,1154,1095,tested,0.3734835355285962,0.3598173515981735,0.427209705372617,0.4100456621004566
ES,mult_U_0.5,5,0.5,1154,1095,tested,0.7790294627383015,0.7771689497716895,0.7963604852686309,0.7780821917808219
ES,mult_U_0.5,5,1.0,1154,1095,tested,0.6620450606585788,0.6538812785388128,0.6906412478336221,0.680365296803653
ES,mult_U_0.5,5,1.5,1154,1095,tested,0.5571923743500866,0.5397260273972603,0.6126516464471404,0.5872146118721461
ES,mult_U_0.5,5,2.0,1154,1095,tested,0.46187175043327555,0.445662100456621,0.5207972270363952,0.5041095890410959
ES,mult_U_0.5,10,0.5,1154,1095,tested,0.8310225303292894,0.8301369863013699,0.8310225303292894,0.817351598173516
ES,mult_U_0.5,10,1.0,1154,1095,tested,0.7374350086655113,0.719634703196347,0.7452339688041595,0.7342465753424657
ES,mult_U_0.5,10,1.5,1154,1095,tested,0.6377816291161178,0.6319634703196347,0.6776429809358753,0.663013698630137
ES,mult_U_0.5,10,2.0,1154,1095,tested,0.5554592720970537,0.5388127853881278,0.6091854419410745,0.593607305936073
ES,mult_U_0.5,15,0.5,1154,1095,tested,0.8535528596187175,0.8538812785388128,0.8509532062391681,0.8438356164383561
ES,mult_U_0.5,15,1.0,1154,1095,tested,0.7746967071057193,0.7589041095890411,0.7712305025996534,0.7707762557077625
ES,mult_U_0.5,15,1.5,1154,1095,tested,0.6871750433275563,0.6977168949771689,0.707105719237435,0.6958904109589041
ES,mult_U_0.5,15,2.0,1154,1095,tested,0.6109185441941074,0.6018264840182649,0.6481802426343154,0.6356164383561644
ES,mult_U_1.0,1,0.5,1055,995,tested,0.6028436018957346,0.6251256281407035,0.6350710900473934,0.6040201005025125
ES,mult_U_1.0,1,1.0,1055,995,tested,0.44739336492890996,0.4321608040201005,0.4957345971563981,0.43417085427135677
ES,mult_U_1.0,1,1.5,1055,995,tested,0.2985781990521327,0.2984924623115578,0.35450236966824644,0.31155778894472363
ES,mult_U_1.0,1,2.0,1055,995,tested,0.2132701421800948,0.2020100502512563,0.27109004739336495,0.22914572864321608
