instrument,anchor,A,n_episodes,n_reclaimed,reclaim_rate,mean_fret_30_ticks
ES,primary,0.5,815,644,0.7901840490797546,1.1490683229813665
ES,primary,1.0,1084,827,0.7629151291512916,0.12212817412333736
ES,primary,1.5,869,615,0.7088607594936709,0.551219512195122
ES,primary,2.0,590,379,0.6423728813559322,0.7941952506596306
ES,placebo,0.5,946,809,0.8562367864693446,-0.38936959208899874
ES,placebo,1.0,1030,858,0.8359223300970874,-0.30885780885780884
ES,placebo,1.5,856,678,0.794392523364486,-0.8584070796460177
ES,placebo,2.0,678,503,0.7448377581120944,0.05168986083499006
NQ,primary,0.5,837,656,0.7837514934289128,-4.512195121951219
NQ,primary,1.0,1093,831,0.7602927721866423,-0.6389891696750902
NQ,primary,1.5,861,587,0.6817653890824622,-11.378194207836456
NQ,primary,2.0,560,355,0.6339285714285714,-13.915492957746478
NQ,placebo,0.5,907,771,0.8544652701212789,-2.033722438391699
NQ,placebo,1.0,1038,837,0.8102119460500964,1.102747909199522
NQ,placebo,1.5,876,676,0.7751141552511416,-6.767751479289941
NQ,placebo,2.0,645,475,0.7395348837209302,7.242105263157895
