instrument,A,n,year_mean_min,year_mean_max,n_years,top10pct_abs_share
ES,0.5,644,-0.14147286821705427,0.9781021897810219,5,0.32239263803680984
ES,1.0,827,-0.4679878048780488,0.6073717948717948,5,0.3285637246090239
ES,1.5,615,-1.6407563025210083,0.9405737704918032,5,0.3341921858500528
ES,2.0,379,-0.9845679012345679,2.002906976744186,5,0.31433969163264064
NQ,0.5,656,-5.963503649635037,4.6625,5,0.34291126236034414
NQ,1.0,831,-4.173780487804878,3.602201257861635,5,0.34298399052452405
NQ,1.5,587,-4.954,1.5327868852459017,5,0.3308249122052605
NQ,2.0,355,-9.440972222222221,-1.0168918918918919,5,0.3187255000502563
