instrument,A,group,n,mean_fret_30_ticks,ci_lo_ticks,ci_hi_ticks
ES,0.5,HALF_only,20,-28.0,-34.13875,-22.342500000000005
ES,0.5,FULL,624,0.3782051282051282,-2.7575320512820514,4.448437499999998
ES,1.0,HALF_only,83,-28.89156626506024,-36.3933734939759,-22.227710843373497
ES,1.0,FULL,744,-1.0887096774193548,-4.872815860215054,2.0324260752688117
ES,1.5,HALF_only,101,-33.61,-42.05325,-24.310500000000008
ES,1.5,FULL,515,-0.7883495145631068,-4.876941747572816,3.283495145631066
ES,2.0,HALF_only,73,-29.10958904109589,-38.49143835616438,-20.040410958904108
ES,2.0,FULL,306,-3.1372549019607843,-10.237499999999999,3.9860294117647053
NQ,0.5,HALF_only,18,,,
NQ,0.5,FULL,638,-3.4921630094043885,-19.972257053291536,10.352076802507831
NQ,1.0,HALF_only,80,-147.4875,-183.2146875,-110.80812500000002
NQ,1.0,FULL,751,-1.677762982689747,-18.57806258322237,13.989347536617835
NQ,1.5,HALF_only,112,-121.27678571428571,-152.68035714285713,-89.31495535714286
NQ,1.5,FULL,475,-10.109473684210526,-35.89742105263158,10.348578947368416
NQ,2.0,HALF_only,76,-110.61842105263158,-147.58289473684212,-68.87565789473688
NQ,2.0,FULL,279,-22.096774193548388,-53.95035842293907,4.616039426523273
