instrument,A,n_episodes,reclaim_rate,n_reclaimed,mean_fret_30_ticks
ES,0.5,815,0.7901840490797546,644,1.1490683229813665
ES,1.0,1084,0.7629151291512916,827,0.12212817412333736
ES,1.5,869,0.7088607594936709,616,0.551219512195122
ES,2.0,590,0.6423728813559322,379,0.7941952506596306
NQ,0.5,837,0.7837514934289128,656,-4.512195121951219
NQ,1.0,1093,0.7602927721866423,831,-0.6389891696750902
NQ,1.5,861,0.6817653890824622,587,-11.378194207836456
NQ,2.0,560,0.6339285714285714,355,-13.915492957746478
