instrument,A,checkpoint_H,status,n,horizon_min,mean_fret_ticks,ci_lo_ticks,ci_hi_ticks,p_above_zero
ES,0.5,5,HELD,375,5,-0.2807486631016043,-2.1422459893048127,1.3975267379679142,0.45989304812834225
ES,0.5,5,HELD,375,15,1.5080213903743316,-1.3155080213903743,4.123997326203206,0.4572192513368984
ES,0.5,5,HELD,375,30,0.24064171122994651,-4.01644385026738,3.634090909090909,0.45454545454545453
ES,0.5,5,RECLAIMED_50,34,5,-7.0588235294117645,-13.011029411764705,-1.277205882352943,0.35294117647058826
ES,0.5,5,RECLAIMED_50,34,15,-4.5588235294117645,-13.685294117647059,3.8014705882352873,0.38235294117647056
ES,0.5,5,RECLAIMED_50,34,30,-11.382352941176471,-23.42720588235294,2.8455882352940973,0.2647058823529412
ES,0.5,5,RECLAIMED_FULL,406,5,0.3078817733990148,-1.8855295566502464,2.2612684729064005,0.49507389162561577
ES,0.5,5,RECLAIMED_FULL,406,15,-0.054187192118226604,-3.2554802955665023,3.3193349753694568,0.49261083743842365
ES,0.5,5,RECLAIMED_FULL,406,30,0.08866995073891626,-4.151354679802955,4.266502463054187,0.5147783251231527
ES,1.0,5,HELD,532,5,-1.5630885122410547,-3.0972693032015064,0.15927495291902058,0.455743879472693
ES,1.0,5,HELD,532,15,-1.024482109227872,-3.205084745762712,1.6974105461393583,0.4538606403013183
ES,1.0,5,HELD,532,30,-0.9020715630885122,-4.128201506591337,2.4760357815442537,0.4444444444444444
ES,1.0,5,RECLAIMED_50,117,5,-5.3418803418803416,-8.00491452991453,-2.5288461538461586,0.3076923076923077
ES,1.0,5,RECLAIMED_50,117,15,-5.589743589743589,-9.96923076923077,-0.8585470085470206,0.4017094017094017
ES,1.0,5,RECLAIMED_50,117,30,-10.811965811965813,-18.252350427350425,-3.9660256410256447,0.3504273504273504
ES,1.0,5,RECLAIMED_FULL,435,5,0.3333333333333333,-1.884712643678161,2.823103448275862,0.5011494252873563
ES,1.0,5,RECLAIMED_FULL,435,15,1.2252873563218392,-1.8054597701149424,4.568563218390801,0.5172413793103449
ES,1.0,5,RECLAIMED_FULL,435,30,-0.5195402298850574,-5.227931034482759,4.586954022988502,0.5011494252873563
ES,1.5,5,HELD,504,5,-1.6845238095238095,-3.4208829365079367,0.036904761904760816,0.4523809523809524
ES,1.5,5,HELD,504,15,-1.001984126984127,-4.101934523809524,1.925396825396821,0.45634920634920634
ES,1.5,5,HELD,504,30,-1.654075546719682,-5.258846918489065,1.7501491053677918,0.44930417495029823
ES,1.5,5,RECLAIMED_50,106,5,-4.556603773584905,-8.203537735849057,-0.8158018867924531,0.39622641509433965
ES,1.5,5,RECLAIMED_50,106,15,-5.122641509433962,-10.375707547169812,0.5162735849056584,0.4056603773584906
