instrument,A,n_total,n_ambiguous,ambiguous_rate
ES,0.5,1259,444,0.3526608419380461
ES,1.0,1181,97,0.0821337849280271
ES,1.5,902,33,0.036585365853658534
ES,2.0,603,13,0.02155887230514096
NQ,0.5,1256,419,0.3335987261146497
NQ,1.0,1171,78,0.06660973526900085
NQ,1.5,879,18,0.020477815699658702
NQ,2.0,564,4,0.0070921985815602835
