instrument,session,touch_time_bucket,approach_side,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status,bh_family,q_value_primary,n_years_with_ge10_events,max_year_sign_agreement,effect_pp,min_sample_met,classification
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,1,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.03204094538308378,0.2639055372090564,0.24966206039036334,-0.042668128294280905,0.4823529411764706,0.5176470588235295,0.9176470588235294,1,9,0,75,0.011764705882352941,0.10588235294117647,0.0,0.8823529411764706,-0.09411764705882353,10,0.021484375,UNDERPOWERED,ES|ASIA,0.38671875,5,3,-9.411764705882353,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,2,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.05151675494714929,0.3689287748119963,0.38694004525257325,-0.016889987295144276,0.49411764705882355,0.5058823529411764,0.9176470588235294,3,13,0,69,0.03529411764705882,0.15294117647058825,0.0,0.8117647058823529,-0.11764705882352942,16,0.021270751953125,UNDERPOWERED,ES|ASIA,0.38671875,5,4,-11.764705882352942,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,3,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07569800340280229,0.4037292470942096,0.4730665654027468,-0.028973829170641476,0.47058823529411764,0.5294117647058824,0.9176470588235294,8,14,0,63,0.09411764705882353,0.16470588235294117,0.0,0.7411764705882353,-0.07058823529411765,22,0.28627872467041016,OK,ES|ASIA,0.5285145686222956,5,3,-7.0588235294117645,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,4,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07433207749341662,0.4323542127947862,0.4919651325886453,0.05514534361682308,0.5058823529411764,0.49411764705882355,0.9176470588235294,8,17,0,60,0.09411764705882353,0.2,0.0,0.7058823529411765,-0.10588235294117648,25,0.10775214433670044,OK,ES|ASIA,0.4502623367266319,5,3,-10.588235294117649,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,6,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.08953688649585513,0.5400793085341518,0.5141750586156916,0.07676623234389507,0.5294117647058824,0.47058823529411764,0.9176470588235294,12,22,0,51,0.1411764705882353,0.25882352941176473,0.0,0.6,-0.11764705882352944,34,0.12144948495551944,OK,ES|ASIA,0.4502623367266319,5,3,-11.764705882352944,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,9,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.10977356763349587,0.653721533133762,0.6022680982921129,0.11437796667281265,0.5294117647058824,0.47058823529411764,0.9176470588235294,18,28,0,39,0.21176470588235294,0.32941176470588235,0.0,0.4588235294117647,-0.11764705882352941,46,0.18392482137699062,OK,ES|ASIA,0.4502623367266319,5,3,-11.76470588235294,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,12,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.020331519888982668,0.7417656319401951,0.7245344237512822,0.0694440863859469,0.5176470588235295,0.4823529411764706,0.9176470588235294,24,35,0,26,0.2823529411764706,0.4117647058823529,0.0,0.3058823529411765,-0.12941176470588234,59,0.19252645776146274,OK,ES|ASIA,0.4502623367266319,5,3,-12.941176470588234,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,18,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.2061924624910413,0.8077696511346136,1.094291300317967,-0.09985626521440627,0.4588235294117647,0.5411764705882353,0.9176470588235294,29,44,0,12,0.3411764705882353,0.5176470588235295,0.0,0.1411764705882353,-0.17647058823529416,73,0.10064367752023572,OK,ES|ASIA,0.4502623367266319,5,4,-17.647058823529417,True,MIXED_OR_NULL
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,24,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.15898257026082221,0.9347245494569005,1.3753217452828381,-0.22461208997927834,0.4470588235294118,0.5529411764705883,0.9176470588235294,34,49,0,2,0.4,0.5764705882352941,0.0,0.023529411764705882,-0.17647058823529405,83,0.12385305946180147,OK,ES|ASIA,0.4502623367266319,5,3,-17.647058823529406,True,MIXED_OR_NULL
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,1,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.05446724411182888,0.3516043305391934,0.26588211623273716,0.16563136763498837,0.5482456140350878,0.4517543859649123,0.9342105263157895,17,20,0,191,0.07456140350877193,0.08771929824561403,0.0,0.8377192982456141,-0.013157894736842105,37,0.7428293587290682,OK,ES|ASIA,0.9402575664595653,5,4,-1.3157894736842104,True,MIXED_OR_NULL
