instrument,session,touch_time_bucket,approach_side,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status,bh_family,q_value_primary,n_years_with_ge10_events,max_year_sign_agreement,effect_pp,min_sample_met,classification
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,1,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.03204094538308378,0.2639055372090564,0.24966206039036334,-0.042668128294280905,0.4823529411764706,0.5176470588235295,0.9176470588235294,1,9,0,75,0.011764705882352941,0.10588235294117647,0.0,0.8823529411764706,-0.09411764705882353,10,0.021484375,UNDERPOWERED,ES|ASIA,0.38671875,5,3,-9.411764705882353,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,2,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.05151675494714929,0.3689287748119963,0.38694004525257325,-0.016889987295144276,0.49411764705882355,0.5058823529411764,0.9176470588235294,3,13,0,69,0.03529411764705882,0.15294117647058825,0.0,0.8117647058823529,-0.11764705882352942,16,0.021270751953125,UNDERPOWERED,ES|ASIA,0.38671875,5,4,-11.764705882352942,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_BELOW,1,1.0,417,79,0.18944844124700239,39,40,0,0.4936708860759494,0.5063291139240507,-0.012658227848101266,1.0,0.031519763008777534,0.19999460815530187,0.1962903752166927,0.056122711052921624,0.5063291139240507,0.4936708860759494,0.9493670886075949,1,1,0,77,0.012658227848101266,0.012658227848101266,0.0,0.9746835443037974,0.0,2,1.0,UNDERPOWERED,ES|ASIA,1.0,5,5,0.0,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_BELOW,2,1.0,417,79,0.18944844124700239,39,40,0,0.4936708860759494,0.5063291139240507,-0.012658227848101266,1.0,-0.025525212989305147,0.2855651579322153,0.3199526629066982,0.11983461489944602,0.5316455696202531,0.46835443037974683,0.9493670886075949,3,3,0,73,0.0379746835443038,0.0379746835443038,0.0,0.9240506329113924,0.0,6,1.0,UNDERPOWERED,ES|ASIA,1.0,5,3,0.0,False,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_BELOW,3,1.0,417,79,0.18944844124700239,39,40,0,0.4936708860759494,0.5063291139240507,-0.012658227848101266,1.0,-0.07642900510251385,0.3515567320784276,0.44375657515979033,-0.0693820190128463,0.4810126582278481,0.5189873417721519,0.9493670886075949,8,7,0,64,0.10126582278481013,0.08860759493670886,0.0,0.810126582278481,0.012658227848101264,15,1.0,UNDERPOWERED,ES|ASIA,1.0,5,4,1.2658227848101264,False,UNDERPOWERED
NQ,ASIA,SESSION_0_TO_30,FROM_ABOVE,1,1.0,606,84,0.13861386138613863,40,44,0,0.47619047619047616,0.5238095238095238,-0.047619047619047616,0.7436441861052041,-0.018639369223592318,0.2752108970540272,0.2883836718033088,-0.17741487426577474,0.44047619047619047,0.5595238095238095,0.9285714285714286,6,8,0,70,0.07142857142857142,0.09523809523809523,0.0,0.8333333333333334,-0.023809523809523808,14,0.79052734375,UNDERPOWERED,NQ|ASIA,0.9180317540322581,5,3,-2.380952380952381,False,UNDERPOWERED
NQ,ASIA,SESSION_0_TO_30,FROM_BELOW,1,1.0,406,70,0.1724137931034483,36,34,0,0.5142857142857142,0.4857142857142857,0.02857142857142857,0.9049745264594622,-0.012167867899660487,0.2131701544403271,0.20546986438680157,0.024712072748866,0.5,0.5,0.9714285714285714,3,2,0,65,0.04285714285714286,0.02857142857142857,0.0,0.9285714285714286,0.014285714285714287,5,1.0,UNDERPOWERED,NQ|ASIA,1.0,5,4,1.4285714285714286,False,UNDERPOWERED
NQ,ASIA,SESSION_0_TO_30,FROM_BELOW,2,1.0,406,70,0.1724137931034483,36,34,0,0.5142857142857142,0.4857142857142857,0.02857142857142857,0.9049745264594622,0.03396280044486241,0.3318821931109369,0.33859089234764017,0.08343968652815319,0.5142857142857142,0.4857142857142857,0.9714285714285714,4,2,0,64,0.05714285714285714,0.02857142857142857,0.0,0.9142857142857143,0.02857142857142857,6,0.6875,UNDERPOWERED,NQ|ASIA,0.8473471941613536,5,3,2.857142857142857,False,UNDERPOWERED
NQ,ASIA,SESSION_0_TO_30,FROM_BELOW,3,1.0,406,70,0.1724137931034483,36,34,0,0.5142857142857142,0.4857142857142857,0.02857142857142857,0.9049745264594622,-0.004627223315380258,0.40133820902417927,0.4187318432587575,-0.0235202667089622,0.4714285714285714,0.5285714285714286,0.9714285714285714,10,5,0,55,0.14285714285714285,0.07142857142857142,0.0,0.7857142857142857,0.07142857142857142,15,0.30175781249999994,UNDERPOWERED,NQ|ASIA,0.5872043918918918,5,3,7.142857142857142,False,UNDERPOWERED
