instrument,session,approach_side,touch_time_bucket,horizon_bars,year,n_events,rejection_first_rate,breakthrough_first_rate,rej_minus_brk_first_rate,median_signed_close_atr,same_bar_rejection_rate,same_bar_breakthrough_rate,sign
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,1,2018,13,0.0,0.15384615384615385,-0.15384615384615385,-0.1676344106346113,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,1,2019,17,0.0,0.058823529411764705,-0.058823529411764705,0.04252880167455098,0.5882352941176471,0.4117647058823529,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,1,2020,13,0.0,0.15384615384615385,-0.15384615384615385,-0.2577452036208351,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,1,2021,23,0.0,0.17391304347826086,-0.17391304347826086,-0.05735533005883134,0.43478260869565216,0.5652173913043478,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,1,2022,19,0.05263157894736842,0.0,0.05263157894736842,0.003944399828658493,0.42105263157894735,0.5789473684210527,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,2,2018,13,0.0,0.15384615384615385,-0.15384615384615385,-0.026210587953001532,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,2,2019,17,0.058823529411764705,0.11764705882352941,-0.058823529411764705,0.17002674152352634,0.5882352941176471,0.4117647058823529,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,2,2020,13,0.0,0.23076923076923078,-0.23076923076923078,-0.30476821811035654,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,2,2021,23,0.043478260869565216,0.2608695652173913,-0.21739130434782608,-0.010300677897909984,0.43478260869565216,0.5652173913043478,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,2,2022,19,0.05263157894736842,0.0,0.05263157894736842,-0.0762937250620139,0.42105263157894735,0.5789473684210527,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,3,2018,13,0.0,0.15384615384615385,-0.15384615384615385,0.2327140138679949,0.6153846153846154,0.38461538461538464,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,3,2019,17,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.30017189482891893,0.5882352941176471,0.4117647058823529,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,3,2020,13,0.07692307692307693,0.23076923076923078,-0.15384615384615385,-0.1995267053661298,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,3,2021,23,0.043478260869565216,0.2608695652173913,-0.21739130434782608,-0.1824117767983131,0.43478260869565216,0.5652173913043478,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,3,2022,19,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.07714970170716448,0.42105263157894735,0.5789473684210527,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,4,2018,13,0.0,0.15384615384615385,-0.15384615384615385,0.11500536559348498,0.6153846153846154,0.38461538461538464,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,4,2019,17,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.22007629234614234,0.5882352941176471,0.4117647058823529,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,4,2020,13,0.07692307692307693,0.23076923076923078,-0.15384615384615385,-0.1229500362921747,0.6153846153846154,0.38461538461538464,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,4,2021,23,0.043478260869565216,0.30434782608695654,-0.2608695652173913,-0.039525795824374654,0.43478260869565216,0.5652173913043478,-1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,4,2022,19,0.10526315789473684,0.15789473684210525,-0.05263157894736842,0.07941962244255707,0.42105263157894735,0.5789473684210527,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,6,2018,13,0.07692307692307693,0.3076923076923077,-0.23076923076923078,0.16891136326651066,0.6153846153846154,0.38461538461538464,1.0
ES,ASIA,FROM_ABOVE,SESSION_0_TO_30,6,2019,17,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.2642680551567635,0.5882352941176471,0.4117647058823529,1.0
