instrument,session,direction,year,continuation_rate,continuation_rate,median_signed_close,median_signed_close,n,n,efficient_minus_inefficient_n,efficient_minus_inefficient_continuation_rate,efficient_minus_inefficient_median_signed_close
,,,,EFFICIENT_DISPLACEMENT,INEFFICIENT_DISPLACEMENT_CONTROL,EFFICIENT_DISPLACEMENT,INEFFICIENT_DISPLACEMENT_CONTROL,EFFICIENT_DISPLACEMENT,INEFFICIENT_DISPLACEMENT_CONTROL,,,
ES,ASIA,-1,2018,0.44244604316546765,0.3333333333333333,0.0,1.25,278.0,6.0,272.0,0.10911270983213434,-1.25
ES,ASIA,-1,2019,0.3544973544973545,0.2857142857142857,-0.25,-0.125,378.0,14.0,364.0,0.06878306878306878,-0.125
ES,ASIA,-1,2020,0.4607329842931937,0.43478260869565216,-0.5,-0.75,382.0,23.0,359.0,0.025950375597541542,0.25
ES,ASIA,-1,2021,0.4651639344262295,0.6666666666666666,-0.25,0.5,488.0,9.0,479.0,-0.20150273224043713,-0.75
ES,ASIA,-1,2022,0.4749455337690632,0.5714285714285714,-0.25,0.25,459.0,7.0,452.0,-0.09648303765950822,-0.5
ES,ASIA,1,2018,0.4707792207792208,0.2,0.125,-1.0,308.0,5.0,303.0,0.2707792207792208,1.125
ES,ASIA,1,2019,0.44110275689223055,0.4166666666666667,0.0,-0.25,399.0,12.0,387.0,0.024436090225563867,0.25
ES,ASIA,1,2020,0.49872122762148335,0.56,0.0,-1.75,391.0,25.0,366.0,-0.0612787723785167,1.75
ES,ASIA,1,2021,0.45,0.0,-0.25,-1.25,460.0,5.0,455.0,0.45,1.0
ES,ASIA,1,2022,0.44969199178644764,0.25,0.0,-3.625,487.0,12.0,475.0,0.19969199178644764,3.625
ES,LONDON,-1,2018,0.462882096069869,0.7777777777777778,-0.25,1.75,229.0,9.0,220.0,-0.31489568170790877,-2.0
ES,LONDON,-1,2019,0.4701195219123506,0.14285714285714285,0.0,0.0,251.0,7.0,244.0,0.3272623790552078,0.0
ES,LONDON,-1,2020,0.4714828897338403,0.5555555555555556,-0.5,2.75,263.0,9.0,254.0,-0.0840726658217153,-3.25
ES,LONDON,-1,2021,0.46236559139784944,0.3333333333333333,0.0,-3.75,279.0,3.0,276.0,0.12903225806451613,3.75
ES,LONDON,-1,2022,0.4887459807073955,0.6,0.25,1.75,311.0,5.0,306.0,-0.11125401929260448,-1.5
ES,LONDON,1,2018,0.45089285714285715,0.2857142857142857,-0.25,2.25,224.0,7.0,217.0,0.16517857142857145,-2.5
ES,LONDON,1,2019,0.4444444444444444,0.5,-0.25,0.5,261.0,6.0,255.0,-0.05555555555555558,-0.75
ES,LONDON,1,2020,0.47808764940239046,0.7142857142857143,0.25,-1.25,251.0,7.0,244.0,-0.23619806488332384,1.5
ES,LONDON,1,2021,0.44516129032258067,0.3333333333333333,-0.25,-1.75,310.0,3.0,307.0,0.11182795698924736,1.5
ES,LONDON,1,2022,0.47987616099071206,0.5714285714285714,-0.25,-1.25,323.0,7.0,316.0,-0.09155241043785933,1.0
ES,NEW_YORK,-1,2018,0.47244094488188976,1.0,-0.75,12.5,254.0,3.0,251.0,-0.5275590551181102,-13.25
ES,NEW_YORK,-1,2019,0.4377358490566038,0.5,-0.5,-1.5,265.0,4.0,261.0,-0.06226415094339621,1.0
ES,NEW_YORK,-1,2020,0.4817073170731707,0.36363636363636365,-0.75,3.0,328.0,11.0,317.0,0.11807095343680707,-3.75
ES,NEW_YORK,-1,2021,0.4780058651026393,0.4444444444444444,-0.5,-1.5,341.0,9.0,332.0,0.033561420658194896,1.0
ES,NEW_YORK,-1,2022,0.4855072463768116,0.6666666666666666,-0.375,1.75,414.0,3.0,411.0,-0.18115942028985504,-2.125
ES,NEW_YORK,1,2018,0.45982142857142855,1.0,-0.5,1.875,224.0,4.0,220.0,-0.5401785714285714,-2.375
ES,NEW_YORK,1,2019,0.4314516129032258,0.75,-0.25,0.125,248.0,4.0,244.0,-0.3185483870967742,-0.375
ES,NEW_YORK,1,2020,0.5471014492753623,0.375,0.25,-12.5,276.0,8.0,268.0,0.1721014492753623,12.75
ES,NEW_YORK,1,2021,0.4899328859060403,0.5384615384615384,0.25,-2.0,298.0,13.0,285.0,-0.04852865255549815,2.25
ES,NEW_YORK,1,2022,0.5100864553314121,0.2,-0.25,8.0,347.0,5.0,342.0,0.31008645533141205,-8.25
NQ,ASIA,-1,2018,0.44984802431610943,0.5714285714285714,-0.5,2.25,329.0,7.0,322.0,-0.12158054711246197,-2.75
NQ,ASIA,-1,2019,0.46987951807228917,0.2857142857142857,-0.25,3.0,415.0,7.0,408.0,0.18416523235800347,-3.25
NQ,ASIA,-1,2020,0.48048780487804876,0.6842105263157895,-0.875,4.75,410.0,19.0,391.0,-0.20372272143774073,-5.625
NQ,ASIA,-1,2021,0.4567627494456763,0.2857142857142857,-1.5,-2.75,451.0,7.0,444.0,0.1710484637313906,1.25
NQ,ASIA,-1,2022,0.514218009478673,0.6666666666666666,-1.0,8.25,422.0,9.0,413.0,-0.1524486571879936,-9.25
NQ,ASIA,1,2018,0.4835820895522388,0.5,-0.5,-3.5,335.0,8.0,327.0,-0.016417910447761197,3.0
NQ,ASIA,1,2019,0.5034324942791762,0.5384615384615384,-0.25,1.5,437.0,13.0,424.0,-0.03502904418236219,-1.75
NQ,ASIA,1,2020,0.47901234567901235,0.7647058823529411,0.25,0.5,405.0,17.0,388.0,-0.28569353667392877,-0.25
NQ,ASIA,1,2021,0.5195652173913043,0.14285714285714285,-0.125,-3.5,460.0,14.0,446.0,0.3767080745341615,3.375
NQ,ASIA,1,2022,0.47751605995717344,0.2857142857142857,0.0,-9.75,467.0,7.0,460.0,0.19180177424288775,9.75
NQ,LONDON,-1,2018,0.5223880597014925,0.25,-0.5,-1.125,268.0,4.0,264.0,0.2723880597014925,0.625
NQ,LONDON,-1,2019,0.5234042553191489,0.16666666666666666,0.0,-1.875,235.0,6.0,229.0,0.3567375886524823,1.875
NQ,LONDON,-1,2020,0.4956896551724138,0.0,-1.0,-4.5,232.0,5.0,227.0,0.4956896551724138,3.5
NQ,LONDON,-1,2021,0.45787545787545786,0.75,-0.75,-1.375,273.0,4.0,269.0,-0.29212454212454214,0.625
NQ,LONDON,-1,2022,0.5273972602739726,0.5,1.375,-15.875,292.0,2.0,290.0,0.0273972602739726,17.25
NQ,LONDON,1,2018,0.45454545454545453,0.5,-0.5,4.125,242.0,2.0,240.0,-0.04545454545454547,-4.625
NQ,LONDON,1,2019,0.5019157088122606,1.0,0.0,4.25,261.0,2.0,259.0,-0.49808429118773945,-4.25
NQ,LONDON,1,2020,0.4980237154150198,0.14285714285714285,-0.25,-1.0,253.0,7.0,246.0,0.3551665725578769,0.75
